,name,email,phone_num,college_regno
0,Zain Sharaf,Sharaf_Zain@aol.com,90912-21842,2019ACIV1563083
1,Romil Ramaswamy,Romil.R90@zoho.com,73991-10663,2010ACIV1171202
2,Ojas Sha,Sha_Ojas48@att.com,96003-17447,2022ACSC1298365
3,Aniruddh Srinivasan,Aniruddh.Srinivasan@yandex.com,96688-98426,2012ACSC4844433
4,Hazel Chander,Chander_Hazel86@yandex.com,72684-29828,2013AIFT8278802
5,Suhana Thakkar,Suhana.Thakkar@verizon.com,94088-81884,2014ACSC2440566
6,Zara Golla,ZaraGolla9@yandex.com,94129-13527,2016AETC9050831
7,Misha Iyengar,Misha_Iyengar@rediffmail.com,98060-05257,2011ACIV2117843
8,Shanaya Sur,Shanaya.Sur@att.com,77829-54999,2020ACSC7122962
9,Rhea Cheema,Rhea_C51@comcast.net,95575-14406,2017ACIV7863339
10,Yuvraj  Kota,Kota.Yuvraj@yahoo.com,85364-97313,2022ACSC6402829
11,Alisha Krish,Krish.Alisha@xfinity.com,80542-46391,2022AETX4702336
12,Vihaan Tiwari,Vihaan.T@att.com,70676-58673,2013AIFT9793477
13,Hrishita Mannan,Hrishita.M@protonmail.com,96602-57941,2011ACSC5092401
14,Kavya Chada,Kavya_Chada46@gmail.com,71479-00637,2015ACSC9191535
15,Ehsaan Chand,Ehsaan_C@zoho.com,90716-05434,2017AIFT7796906
16,Nayantara Shanker,Nayantara_Shanker@outlook.com,80268-94445,2017ACIV7653621
17,Lakshay Soni,Lakshay.Soni@outlook.com,87526-46273,2017AIFT4249976
18,Ivan Bhargava,IBhargava@outlook.com,76945-01229,2015ACIV3918192
19,Keya Varty,KeyaVarty@outlook.com,83007-16505,2011ACSC6456172
20,Hunar Walla,Walla_Hunar@aol.com,76698-17516,2016AETX0939469
21,Zeeshan Garde,Zeeshan.Garde@gmail.com,87061-84389,2019AETC6973527
22,Ryan Basu,Basu.Ryan35@rediffmail.com,84198-79136,2019ACSC1778912
23,Amani Rama,Amani_Rama@verizon.com,98075-39640,2014AETX5660334
24,Tanya Lall,Tanya.L78@comcast.net,99883-13878,2011ACIV0570028
25,Jiya Bhat,Jiya_Bhat@xfinity.com,95328-28186,2018ACIV6033429
26,Shayak Vig,SVig72@gmail.com,70574-06670,2014ACIV8525689
27,Anvi Jhaveri,Jhaveri.Anvi@zoho.com,73285-76661,2014AETC8021732
28,Aaina Sibal,Aaina_Sibal@gmail.com,92859-80533,2017AIFT5722924
29,Jhanvi Saran,JhanviSaran@yahoo.com,80186-54472,2013AETX4807892
30,Aayush Chaudhari,AChaudhari@att.com,96518-51473,2018AETC1007759
31,Ahana  Roy,ARoy@comcast.net,71742-72383,2016ACSC2523015
32,Ishaan Zachariah,Zachariah.Ishaan91@comcast.net,81140-36545,2015AETC3345178
33,Zain Sarin,Zain.Sarin@xfinity.com,74891-52091,2012ACSC4632584
34,Ryan Bhattacharyya,Bhattacharyya.Ryan@zoho.com,92853-09080,2022AIFT2208845
35,Lagan Shere,Lagan_Shere@yahoo.com,91680-09079,2016AETC0373902
36,Anay Rao,AnayRao@comcast.net,88768-63925,2019AETC6523924
37,Yuvaan Subramanian,Yuvaan_S@xfinity.com,90010-84144,2020ACIV5911971
38,Riya Madan,Riya_M90@verizon.com,71281-88067,2022AETC2206304
39,Madhup Sundaram,Sundaram_Madhup@outlook.com,93903-05504,2015AETX7400866
40,Hunar Malhotra,HunarMalhotra@verizon.com,89775-47152,2019AETX0170058
41,Vidur Buch,Vidur.Buch@verizon.com,98162-52425,2010AIFT4827249
42,Eshani Vig,Vig.Eshani9@rediffmail.com,84201-63119,2019ACSC8311448
43,Anya Dixit,ADixit@verizon.com,95900-27562,2018AETX6434636
44,Riaan Kashyap,Kashyap.Riaan@yandex.com,96601-11713,2016ACSC4015000
